                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.59048,                0.57671,                 1.0019,                0.84985,                0.88118,                0.90993,                0.77678,                0.59583,                0.60853,                0.97791,              0.0011955,              0.0011955,              0.0011955
                     62,                0.59508,                0.57324,                  1.003,                0.84224,                  0.877,                0.90979,                0.78212,                0.56217,                0.59627,                0.95469,              0.0011876,              0.0011876,              0.0011876
                     63,                0.58619,                0.56698,                 1.0013,                0.87489,                0.85714,                0.91707,                0.78447,                0.56434,                0.58977,                0.95841,              0.0011798,              0.0011798,              0.0011798
                     64,                0.58424,                0.56269,                0.99274,                0.86883,                0.85019,                0.91161,                0.78965,                0.56349,                 0.5867,                0.95868,              0.0011719,              0.0011719,              0.0011719
                     65,                0.56715,                0.55017,                0.98907,                0.82699,                0.90253,                0.90863,                0.78621,                 0.5575,                0.59424,                0.95353,               0.001164,               0.001164,               0.001164
                     66,                0.57126,                0.55995,                0.99264,                0.86875,                0.85037,                0.91042,                 0.7792,                0.56799,                0.61272,                0.97415,              0.0011562,              0.0011562,              0.0011562
                     67,                0.56135,                0.55608,                0.99062,                0.85586,                0.85838,                0.90503,                0.78464,                0.54922,                0.60982,                0.96042,              0.0011483,              0.0011483,              0.0011483
                     68,                0.57828,                0.55714,                 1.0047,                0.84248,                0.84617,                0.89327,                0.75749,                0.59576,                0.63142,                0.98449,              0.0011405,              0.0011405,              0.0011405
                     69,                0.58323,                0.57158,                0.99952,                0.84655,                0.87322,                0.91369,                0.79454,                0.54797,                0.58806,                0.94779,              0.0011326,              0.0011326,              0.0011326
                     70,                0.57339,                0.54757,                 0.9906,                0.86609,                0.85784,                0.91059,                0.77878,                0.56459,                0.58822,                0.97263,              0.0011247,              0.0011247,              0.0011247
                     71,                 0.5745,                0.55063,                0.99814,                0.87156,                0.84006,                0.90222,                0.77786,                0.57683,                0.61626,                0.97813,              0.0011169,              0.0011169,              0.0011169
                     72,                0.56743,                0.57251,                 0.9935,                0.88851,                0.83713,                0.90744,                0.78075,                  0.575,                0.59946,                0.97338,               0.001109,               0.001109,               0.001109
                     73,                0.56927,                0.55628,                 1.0049,                0.86915,                0.85498,                0.90127,                0.77815,                0.55131,                0.59091,                0.96077,              0.0011012,              0.0011012,              0.0011012
                     74,                0.56294,                0.53974,                0.98626,                0.86387,                0.85342,                0.90989,                0.78124,                0.56347,                0.58782,                0.95587,              0.0010933,              0.0010933,              0.0010933
                     75,                0.55051,                0.53368,                0.99383,                0.87671,                0.86591,                0.91221,                0.78804,                0.54829,                0.57329,                0.95683,              0.0010855,              0.0010855,              0.0010855
                     76,                0.56352,                0.54735,                0.98981,                0.84778,                0.88277,                0.91495,                0.79286,                0.54902,                0.57783,                0.95681,              0.0010776,              0.0010776,              0.0010776
                     77,                0.56525,                0.53492,                 1.0008,                0.85886,                0.87403,                0.91813,                0.79166,                0.55125,                0.58821,                0.95502,              0.0010697,              0.0010697,              0.0010697
                     78,                0.56088,                0.52549,                0.99656,                0.88332,                0.88422,                0.92315,                 0.7994,                0.55493,                0.56385,                0.94943,              0.0010619,              0.0010619,              0.0010619
                     79,                0.55126,                0.51581,                0.98811,                0.87477,                0.84009,                0.91304,                0.78528,                0.54736,                0.59556,                0.95668,               0.001054,               0.001054,               0.001054
                     80,                0.54462,                0.51619,                 0.9875,                  0.876,                0.86584,                0.91646,                0.79211,                0.54963,                0.56918,                 0.9653,              0.0010462,              0.0010462,              0.0010462
                     81,                0.54427,                0.50912,                0.98184,                 0.8913,                 0.8525,                0.91859,                0.79713,                0.56112,                0.55897,                0.95453,              0.0010383,              0.0010383,              0.0010383
                     82,                0.54627,                0.50468,                0.98007,                0.87565,                0.85038,                0.91022,                0.79043,                0.53378,                0.60623,                0.93817,              0.0010304,              0.0010304,              0.0010304
                     83,                0.54314,                0.52513,                0.97048,                 0.8616,                  0.879,                0.90298,                   0.79,                0.53059,                0.59246,                0.94225,              0.0010226,              0.0010226,              0.0010226
                     84,                0.52648,                0.50275,                0.96556,                0.85584,                0.88569,                0.91804,                0.79983,                0.53573,                0.56681,                0.95005,              0.0010147,              0.0010147,              0.0010147
                     85,                0.54182,                 0.5214,                0.99042,                0.83292,                0.87895,                0.90586,                 0.7834,                 0.5581,                0.58273,                0.96163,              0.0010069,              0.0010069,              0.0010069
                     86,                0.52559,                0.49648,                0.96763,                0.85792,                0.87837,                0.91135,                0.78543,                0.55857,                0.57588,                0.95686,             0.00099901,             0.00099901,             0.00099901
                     87,                0.53435,                0.51165,                 0.9821,                 0.8585,                0.88589,                 0.9129,                0.79939,                0.54898,                0.57283,                0.96026,             0.00099115,             0.00099115,             0.00099115
                     88,                0.52783,                0.48306,                0.96595,                0.88936,                0.87642,                0.91585,                0.81007,                0.51619,                0.55568,                0.93358,             0.00098329,             0.00098329,             0.00098329
                     89,                0.52046,                0.49891,                0.96365,                0.85516,                 0.9182,                0.92558,                0.81365,                0.50412,                0.55202,                 0.9257,             0.00097543,             0.00097543,             0.00097543
                     90,                0.51775,                0.49524,                0.96617,                0.86792,                0.87741,                0.91718,                0.80736,                0.52377,                0.56679,                0.93811,             0.00096757,             0.00096757,             0.00096757
                     91,                0.51923,                0.49022,                0.96872,                0.84425,                0.90151,                0.91386,                0.80346,                0.52115,                0.55244,                0.93799,             0.00095972,             0.00095972,             0.00095972
                     92,                 0.5225,                0.48028,                 0.9733,                0.86094,                0.89874,                0.92103,                0.80316,                0.52977,                0.55531,                  0.945,             0.00095186,             0.00095186,             0.00095186
                     93,                0.52544,                0.49035,                0.97927,                0.86014,                0.88855,                0.91456,                0.80477,                0.53487,                0.58766,                 0.9412,               0.000944,               0.000944,               0.000944
                     94,                0.51589,                 0.4909,                0.96275,                0.86364,                0.88805,                0.91789,                0.80393,                0.52864,                0.56785,                0.94308,             0.00093614,             0.00093614,             0.00093614
                     95,                0.51364,                0.48293,                0.95879,                0.87327,                0.89291,                0.91897,                0.80594,                0.52676,                0.55899,                0.93625,             0.00092828,             0.00092828,             0.00092828
                     96,                0.49903,                0.48274,                 0.9473,                0.89103,                 0.8809,                0.92698,                0.81585,                0.51769,                0.52738,                0.93464,             0.00092042,             0.00092042,             0.00092042
                     97,                0.50815,                0.47198,                0.95511,                0.89762,                0.88154,                0.92496,                0.81911,                0.51224,                0.53239,                0.93118,             0.00091256,             0.00091256,             0.00091256
